employee_id;first_name;middle_initial;last_name;birth_date;gender;city_id;shop_id;hire_date
151;Kimberly;H;Lopez;1975-06-26;F;10;34;2023-05-09
152;Michele;F;Hardy;2003-07-23;F;8;39;2016-10-09
153;Matthew;B;Jackson;1967-01-07;M;3;66;2019-02-06
154;Jennifer;O;Hall;1999-01-10;M;6;43;2014-10-27
155;Catherine;L;Fowler;1995-09-08;M;13;4;2023-03-11
156;Michelle;D;Lopez;1987-09-14;F;2;65;2021-03-03
157;Raymond;S;Meyer;1983-04-21;F;11;23;2022-10-05
158;Jeffrey;U;Christensen;1967-04-29;M;14;12;2019-11-05
159;David;M;Arnold;1987-11-02;M;6;34;2019-09-08
160;Eric;O;Wells;1991-08-16;M;16;35;2019-07-29
161;George;R;Owens;1988-12-15;F;9;11;2022-06-21
162;Jason;W;Franklin;1999-11-14;M;5;35;2020-01-28
163;Kathryn;D;Chavez;1979-09-03;F;11;3;2017-08-06
164;Richard;H;Thompson;2003-06-27;F;17;15;2018-05-03
165;Andrea;I;Campbell;1985-02-28;M;18;45;2013-11-03
166;Ashley;L;Howell;1989-11-18;M;20;51;2017-04-10
167;Matthew;M;Hill;2001-05-28;F;3;71;2013-11-24
168;John;C;Martin;1978-03-02;F;19;22;2023-05-01
169;Cameron;A;Robertson;1981-11-01;F;20;31;2015-03-21
170;Stacie;L;Smith;1980-06-25;F;15;29;2020-09-05
171;Jesse;D;Noble;1994-07-27;F;5;41;2014-11-08
172;Joseph;S;Vance;1983-05-20;M;15;26;2018-09-25
173;Jason;M;Savage;1980-08-08;F;14;30;2020-08-13
174;Eric;J;Rodriguez;1975-07-10;M;12;49;2023-04-24
175;Christina;I;Johnson;2004-07-22;M;19;6;2021-10-07
176;Christina;E;Webb;1974-09-23;F;13;31;2017-03-11
177;David;V;Davis;1989-08-14;F;6;44;2017-08-01
178;David;Q;Williams;2005-07-10;F;20;61;2018-01-10
179;Matthew;I;Bell;2002-04-16;M;6;49;2022-07-25
180;Jeffrey;I;Brown;1997-11-22;F;11;63;2013-04-15
181;Courtney;V;Meyer;1980-04-01;F;5;17;2021-06-27
182;Mathew;M;Bonilla;1983-05-28;F;17;21;2016-11-15
183;Latasha;H;Robinson;1986-02-19;M;17;12;2015-01-09
184;Shawna;S;Sanders;1976-12-10;F;10;42;2017-08-16
185;Jodi;Z;Hughes;1968-04-02;M;8;57;2017-12-05
186;Eric;C;Wall;1969-01-23;M;9;20;2015-07-10
187;Jose;V;Forbes;2000-07-17;F;2;22;2017-03-06
188;Eric;S;Shah;2005-08-23;M;21;45;2016-06-07
189;Scott;U;Roberson;1965-01-08;F;18;1;2015-01-08
190;Sara;C;Crosby;1968-11-22;F;2;62;2022-05-15
191;Benjamin;J;Cook;1987-05-19;M;3;67;2019-01-24
192;Victor;O;Cain;1974-11-28;F;11;68;2014-01-27
193;Rachel;C;Le;1967-11-02;M;18;22;2014-08-16
194;Andrew;Q;White;1967-10-23;F;15;27;2016-10-30
195;Patrick;Z;Molina;1983-12-27;F;13;19;2014-08-15
196;Steven;X;Blankenship;1966-06-14;F;12;12;2020-04-16
197;Michael;X;Anderson;1989-08-20;M;11;40;2021-10-11
198;Dawn;A;Mills;2005-01-16;F;9;53;2023-03-05
199;Kristen;N;Mendoza;1972-07-21;M;2;63;2023-06-01
200;Johnny;C;Smith;1977-10-07;M;17;27;2022-07-19
201;Stephanie;Q;Thompson;2003-12-24;M;3;20;2014-10-02
202;Miguel;P;Greene;1985-05-28;M;4;3;2018-02-17
203;Michael;S;Chapman;2001-05-23;M;18;5;2016-03-14
204;Jeffrey;K;Johnson;1978-06-17;M;8;66;2022-02-23
205;Desiree;D;Oneal;2003-05-08;M;12;19;2021-09-15
206;Benjamin;D;Werner;1970-10-02;F;14;25;2018-08-03
207;Blake;Y;Hubbard;1980-04-06;F;16;18;2016-10-04
208;Robert;G;Johnson;1977-06-05;F;8;38;2018-10-25
209;Patricia;O;Sparks;1999-09-02;M;2;33;2022-06-02
210;Cory;L;Kelly;1978-05-19;F;6;12;2014-09-21
211;Charles;O;Phillips;1981-07-22;M;15;23;2023-01-10
212;Monica;M;Miller;1976-04-30;F;15;37;2022-09-09
213;Andrea;K;Merritt;1990-07-13;M;16;17;2015-07-02
214;Kristin;K;Taylor;1967-12-14;F;16;56;2018-09-13
215;Miranda;G;Bentley;1994-10-03;M;8;9;2023-07-26
216;William;X;Cummings;1993-08-05;M;16;24;2016-10-10
217;Kristin;N;Evans;2005-10-25;F;18;30;2016-06-03
218;Christopher;A;Black;2005-03-22;M;11;16;2021-08-16
219;Michael;G;Giles;2002-07-05;F;21;66;2022-09-24
220;Gina;N;Stafford;1998-02-11;F;1;33;2013-11-06
221;Walter;S;Rogers;1968-06-14;M;20;45;2016-06-20
222;Stephanie;C;Ortiz;1995-01-21;F;17;64;2016-12-10
223;Eric;K;Hill;1978-05-23;M;5;49;2016-06-29
224;Daniel;M;Gilbert;1983-08-08;F;20;56;2017-07-23
225;Christopher;A;Moore;2001-12-31;F;3;52;2013-04-12
226;Cynthia;E;Reeves;2003-04-05;F;16;45;2021-05-27
227;Brian;E;Lee;1999-03-17;F;4;11;2022-11-22
228;Kimberly;Y;Walton;1968-08-10;M;16;51;2018-02-19
229;Devin;W;Gonzales;1985-12-17;F;19;57;2023-10-22
230;Amanda;Y;Serrano;1965-12-07;F;19;33;2018-07-05
231;Michael;A;Ramirez;1988-05-22;F;20;12;2023-05-25
232;Pamela;B;Schmitt;1974-09-13;M;4;62;2019-01-23
233;Amy;A;Cook;1998-07-31;F;1;23;2014-11-03
234;Michelle;Q;Perry;1973-01-10;M;14;32;2016-02-02
235;Tom;Z;Murphy;1974-10-12;M;19;7;2021-07-13
236;Hannah;C;Kennedy;2003-01-07;F;21;46;2015-02-17
237;Robert;N;Lopez;2000-04-09;F;8;2;2023-11-15
238;Elaine;X;Palmer;1979-07-03;M;12;19;2014-02-20
239;Carrie;V;Johnson;1968-06-01;M;3;13;2023-01-31
240;Shelley;H;Frazier;1976-11-25;F;9;27;2017-05-10
241;Curtis;N;Watson;1988-07-21;F;11;62;2018-11-21
242;Angela;O;Carter;1979-11-05;F;14;63;2017-05-28
243;Mark;R;Lewis;1988-07-27;F;13;41;2021-02-17
244;Steven;O;Frazier;1971-01-04;F;5;8;2015-07-21
245;Carol;L;Rogers;1981-01-09;F;13;51;2019-01-06
246;Caroline;B;Ryan;2000-04-29;F;12;8;2019-10-24
247;David;J;Anderson;1987-01-01;M;2;64;2013-07-01
248;Vanessa;A;Cooper;2001-09-02;M;4;66;2014-09-26
249;Anthony;O;Soto;1994-03-12;M;10;35;2013-12-31
250;Leslie;Y;Cruz;1984-04-25;M;3;4;2022-08-08
251;Carolyn;O;Bullock;1982-06-17;M;1;5;2021-10-19
252;James;O;Bradley;1987-06-02;F;13;61;2023-09-21
253;David;M;Friedman;1966-04-16;F;10;27;2019-05-18
254;Jennifer;U;Johnson;1968-10-03;F;3;29;2020-07-16
255;Robert;L;Curtis;1989-12-29;F;7;67;2023-01-27
256;Lance;V;Sanders;1989-03-22;F;17;17;2019-04-08
257;Jessica;X;Hernandez;1998-12-14;F;1;56;2020-08-30
258;Shawn;X;Adams;1987-02-21;M;18;72;2017-09-15
259;Robert;V;Rush;1968-07-26;M;17;12;2018-08-03
260;Sarah;F;Hartman;1976-12-03;F;11;18;2014-08-18
261;Briana;X;Patel;1984-02-29;F;13;24;2013-02-10
262;Thomas;S;Molina;1996-09-06;M;15;6;2014-06-19
263;Shawn;P;Rodriguez;2001-07-09;F;3;62;2015-11-11
264;Mary;U;Mills;1996-06-08;F;2;17;2014-04-07
265;David;J;Shaw;1989-03-09;M;7;70;2015-05-31
266;Russell;U;Haley;1989-10-12;F;14;64;2019-01-10
267;Ryan;Y;Ramirez;1968-07-12;M;19;13;2017-08-02
268;Kenneth;Y;Weaver;1965-02-12;M;20;24;2022-03-01
269;Lindsey;D;Cooper;1965-12-30;F;1;72;2018-08-10
270;Leslie;F;Aguilar;1994-12-16;M;19;47;2021-02-13
271;Helen;I;Wells;1982-06-03;M;21;47;2020-04-18
272;Caitlin;P;Anderson;1978-11-18;M;16;37;2013-02-13
273;Michelle;W;Johnson;1984-11-17;F;9;48;2020-09-10
274;Robert;E;Dawson;2003-01-20;F;19;22;2013-02-27
275;James;G;Foster;1995-10-30;F;7;39;2014-02-14
276;Dwayne;S;Lopez;1997-09-25;M;1;43;2016-02-03
277;Justin;H;Leach;1987-07-13;M;4;41;2021-05-21
278;William;N;Carney;1964-12-25;M;8;53;2016-08-22
279;Cynthia;O;Kim;1967-06-13;F;8;63;2018-09-28
280;Gregory;A;Ballard;1976-09-05;F;11;31;2022-09-02
281;Tammy;H;Deleon;2003-11-05;F;6;33;2021-02-11
282;Daniel;J;Garza;1970-08-14;M;20;11;2013-06-24
283;Paige;U;Blair;2000-04-13;F;12;32;2019-06-07
284;Madison;L;Ramirez;1990-06-18;F;18;45;2013-01-22
285;Alyssa;Q;Hendricks;1975-07-12;M;9;26;2014-07-08
286;James;F;Hampton;1984-02-27;F;4;16;2022-06-11
287;Elizabeth;H;Bailey;1988-01-02;M;12;28;2018-10-27
288;Alyssa;L;Wall;1994-12-10;F;2;64;2016-05-23
289;Anna;U;Smith;1981-12-20;M;2;68;2016-10-06
290;Ray;J;Allen;2005-01-29;F;20;47;2022-04-18
291;Jennifer;H;White;1979-06-29;M;1;56;2013-01-18
292;Justin;P;Howard;1973-05-04;F;11;13;2023-08-31
293;Jeremy;D;Stephenson;1975-09-01;F;1;66;2014-11-16
294;Tara;C;Brown;1988-02-17;F;3;33;2023-04-30
295;Timothy;X;Reid;2004-01-05;M;9;72;2018-08-06
296;Amy;D;Mcdonald;1980-06-17;F;2;26;2017-02-03
297;Stephanie;I;Cox;2002-11-12;F;2;55;2014-03-13
298;Edward;U;Williams;1998-07-18;M;12;12;2013-02-18
299;Anthony;X;Diaz;1991-08-16;M;18;16;2014-11-20
300;Julie;Y;Bailey;1995-04-25;F;3;68;2019-06-01
301;Jennifer;U;Ramirez;1966-02-02;F;2;63;2020-01-04
302;Jon;I;Cardenas;1991-09-06;M;13;64;2019-09-19
303;Lori;P;Young;1984-11-08;F;19;5;2023-02-13
304;Connie;X;Waller;1995-11-09;F;19;2;2017-11-15
305;Julie;I;Johnson;2000-01-18;F;18;23;2015-05-22
306;Katrina;E;Walker;1991-05-18;F;8;25;2020-12-11
307;Zachary;D;Liu;1986-08-02;M;4;52;2015-02-16
308;Courtney;S;Williams;1989-11-04;M;14;26;2018-01-17
309;Rose;O;Stephens;1974-04-11;M;6;47;2017-09-02
310;Paul;Z;Hayes;1994-01-25;M;13;49;2014-09-12
311;Tina;Y;Hammond;1980-07-02;F;10;8;2020-03-21
312;Gerald;K;Mcdowell;1968-04-07;M;7;67;2018-04-08
313;Ann;P;Perez;1969-06-26;F;10;56;2017-12-03
314;Brandon;V;Ramirez;1975-11-08;F;3;14;2014-03-19
315;Henry;N;Williams;1990-09-24;M;10;47;2023-07-08
316;Jeffrey;Z;Franklin;1980-05-24;F;17;57;2023-10-11
317;Robert;Z;Wood;1983-11-23;F;15;67;2016-11-23
318;Alice;E;Spears;1988-03-18;F;21;53;2019-03-24
319;Cody;T;Gonzalez;1968-09-02;M;10;27;2019-03-17
320;Carla;F;Moore;1978-03-09;F;3;22;2019-08-16
321;Kenneth;E;Ramirez;1991-01-02;F;6;1;2016-03-28
322;Kenneth;E;Ramirez;1991-01-02;F;6;1;2016-03-28
323;Kenneth;E;Ramirez;1991-01-02;F;6;1;2016-03-28
324;Kenneth;E;Ramirez;1991-01-02;F;6;1;2016-03-28
325;Kenneth;E;Ramirez;1991-01-02;F;6;1;2016-03-28
326;BadDate;X;User;2023-99-99;M;9;63;20/12/2020
